chr	pos	rate	cM
chr12	216039	0.07952315	0
chr12	221203	0.08950545	0.0004106575466
chr12	225699	0.0798824	0.0008130740498
chr12	232123	5.8098	0.0013262385874
chr12	237521	5.988383	0.0326875389874001
chr12	239143	0.321807999999999	0.0424006962134
chr12	239787	0.0922305999999995	0.0426079405654
chr12	245335	0.813262499999999	0.0431196359342
chr12	245828	4.1079315	0.0435205743467
chr12	250239	0.420901999999999	0.0616406601932
chr12	250987	0.1483015	0.0619554948892
chr12	255195	1.656864	0.0625795476012
chr12	257511	2.7416845	0.0664168446252
chr12	257695	0.978096	0.0669213145732
chr12	260682	0.391117999999988	0.0698428873252
chr12	261034	0.238038999999999	0.0699805608612
chr12	261929	3.003959	0.0701936057662
chr12	263954	0.535861499999988	0.0762766227412
chr12	264136	0.1091031	0.0763741495342
chr12	269531	2.46512505	0.0769627607587
chr12	277464	0.141450399999998	0.0965185977803499
chr12	279586	0.263109000000008	0.0968187555291499
chr12	280349	1.5844372	0.0970195076961499
chr12	295546	0.195725999999999	0.12109819982455
chr12	299043	0.278481999999991	0.12178265364655
chr12	299715	0.177054500000006	0.12196979355055
chr12	301428	0.1720965	0.12227308790905
chr12	303320	11.57237725	0.12259869448705
chr12	310334	0.199315999999998	0.20376734851855
chr12	311949	0.0980345500000012	0.20408924385855
chr12	319125	1.3280571	0.20479273978935
chr12	327421	7.91489835	0.21581030149095
chr12	332860	9.84246100000002	0.2588594336166
chr12	334342	0.308092499999986	0.2734459608186
chr12	334955	0.226753500000013	0.2736348215211
chr12	335922	3.6809065	0.2738540921556
chr12	338473	0.184828499999991	0.2832440846371
chr12	340535	15.7590045	0.2836252010041
chr12	341376	2.87704500000045	0.2968785237886
chr12	341392	1.09418585	0.2969245565086
chr12	349298	0.132624999999989	0.3055751898387
chr12	351323	0.084419850000003	0.3058437554637
chr12	355842	0.0820973000000033	0.30622524876585
chr12	360614	0.0490102999999964	0.30661701708145
chr12	371786	0.0765111500000053	0.30716456015305
chr12	377904	0.251616500000003	0.30763265536875
chr12	378729	0.0251678500000003	0.30784023898125
chr12	421394	0.115096549999997	0.3089140253015
chr12	427575	0.540451500000014	0.30962543707705
chr12	428131	0.248661499999996	0.30992592811105
chr12	436454	0.0957791500000002	0.31199553777555
chr12	487335	1.69709035	0.3168688767067
chr12	520947	0.193070000000005	0.3739114775509
chr12	526482	0.0731508499999981	0.3749801200009
chr12	539038	3.1148565	0.3758986020735
chr12	543206	0.145055500000006	0.3888813239655
chr12	547683	1.78775349999999	0.389530737439
chr12	549268	1.7471725	0.3923643267365
chr12	551550	1.0312261	0.3963513743815
chr12	567046	4.17501550000001	0.4123312540271
chr12	570917	0.429751	0.4284927390276
chr12	573870	0.674353999999987	0.4297617937306
chr12	575633	2.63043215	0.4309506798326
chr12	585827	4.94550800000005	0.4577653051697
chr12	586407	0.136043999999999	0.4606336998097
chr12	590449	0.16641150000001	0.4611835896577
chr12	592524	0.189517999999983	0.4615288935202
chr12	594174	0.355778999999972	0.4618415982202
chr12	594525	0.115327500000006	0.4619664766492
chr12	597722	0.0773940999999987	0.4623351786667
chr12	603513	0.231987500000004	0.4627833678998
chr12	604621	0.208923999999994	0.4630404100498
chr12	605887	0.251713500000005	0.4633049078338
chr12	607226	0.513711499999975	0.4636419522103
chr12	607480	0.266672999999995	0.4637724349313
chr12	609541	0.947024500000866	0.4643220479843
chr12	609563	0.258812500000009	0.4643428825233
chr12	611594	0.984865499999996	0.4648685307108
chr12	615386	34.8053745	0.4686031406868
chr12	617981	0.154276499999995	0.558923087514301
chr12	622926	0.204269500000012	0.559685984806801
chr12	624947	0.918967499999089	0.560098813466301
chr12	624978	0.18367200000001	0.560127301458801
chr12	628236	0.479350499999949	0.560725704834801
chr12	628669	1.03603799999999	0.560933263601301
chr12	628723	28.427815	0.560989209653301
chr12	632240	1.2045279999997	0.660969835008301
chr12	632400	1.99120700000005	0.6611625594883
chr12	632645	0.390209999999959	0.661650405203301
chr12	633417	0.374417000000142	0.6619516473233
chr12	634113	0.39840099999984	0.662212241555301
chr12	634584	0.354474000000046	0.6623998884263
chr12	635111	0.736287999999725	0.662586696224301
chr12	635259	0.336054500000024	0.662695666848301
chr12	637363	6.08976300000002	0.663402725516301
chr12	638166	6.6412353	0.668292805205301
chr12	644726	0.236448999999984	0.711859308773301
chr12	648237	0.77169600000001	0.712689481212301
chr12	649775	8.48298499999999	0.713876349660301
chr12	657404	0.21983	0.778593042225301
chr12	661031	0.382142000000063	0.779390365635301
chr12	661656	0.420325500000058	0.779629204385301
chr12	662448	15.3865392	0.779962102181301
chr12	669038	2.30488300000008	0.8813593955093
chr12	669310	29.997951	0.8819863236853
chr12	671670	0.351550499999969	0.952781488045301
chr12	672372	0.362176999999931	0.953028276496301
chr12	673078	0.847279499999919	0.953283973458301
chr12	673245	3.05958000000149	0.953425469134801
chr12	673283	11.2237099999999	0.953541733174801
chr12	673515	8.64813500000013	0.956145633894801
chr12	673854	6.11532849999996	0.959077351659801
chr12	675441	0.463831500000028	0.968782377989301
chr12	676116	0.424186499999942	0.969095464251801
chr12	676543	0.245600500000055	0.969276591887301
chr12	677756	0.666290500000048	0.969574505293801
chr12	678210	11.3996995	0.969877001180801
chr12	681554	0.559075999999696	1.0079975963088
chr12	681730	0.155976999999996	1.0080959936848
chr12	683946	2.34188200000001	1.0084416387168
chr12	686076	1.27394450000002	1.0134298473768
